,school-name,matched_again,match_from,school_address
0,Tufts University,"Medford, MA",Collegelist,
1,Northfield Mount Hermon School,"(Northfield-Mount Hermon School, Music Hall Drive, Northfield, Franklin County, Massachusetts, 01360, United States of America, (42.7142505, -72.443143))",Nominatum,"Northfield-Mount Hermon School, Music Hall Drive, Northfield, Franklin County, Massachusetts, 01360, United States of America"
2,Tufts University,"Medford, MA",Collegelist,
3,Northfield Mount Hermon School,"(Northfield-Mount Hermon School, Music Hall Drive, Northfield, Franklin County, Massachusetts, 01360, United States of America, (42.7142505, -72.443143))",Nominatum,"Northfield-Mount Hermon School, Music Hall Drive, Northfield, Franklin County, Massachusetts, 01360, United States of America"
4,Kellogg School of Management,"(Kellogg State Game Management Area, US 6, Jasper County, Iowa, 50112, United States of America, (41.6999927, -92.8790826))",Nominatum,"Kellogg State Game Management Area, US 6, Jasper County, Iowa, 50112, United States of America"
5,"University of California, San Diego","La Jolla, CA",Collegelist,
6,Yonsei University,"(연세대학교 서울캠퍼스, 백양로(Baekyang-ro), 신촌동 (Sinchon-dong), 서대문구, 서울, 120-749, 대한민국, (37.56722355, 126.939514471))",Nominatum,"연세대학교 서울캠퍼스, 백양로(Baekyang-ro), 신촌동 (Sinchon-dong), 서대문구, 서울, 120-749, 대한민국"
7,University of Southern California,"Los Angeles, CA",Collegelist,
8,Universidad Metropolitana (VE),"(Universidad Metropolitana, Avenida Bolivar, Barrio Jonathan González, Bolonia, Managua, 12066, Nicaragua, (12.1396391, -86.2770322))",Nominatum,"Universidad Metropolitana, Avenida Bolivar, Barrio Jonathan González, Bolonia, Managua, 12066, Nicaragua"
9,Framingham State College,,,
10,Lasell College,"Newton, MA",Collegelist,
11,California Polytechnic State University-San Luis Obispo,"San Luis Obispo, CA",Collegelist,
12,University of Kansas,"Lawrence, KS",Collegelist,
13,"University of California, Berkeley","Berkeley, CA",Collegelist,
14,Leonardtown High School,"23995 POINT LOOKOUT RD LEONARDTOWN, MD 20650",Collegelist,
15,Fitchburg State University,"Fitchburg, MA",Collegelist,
16,Kent State University,"Kent, OH",Collegelist,
17,Bucknell University,"Lewisburg, PA",Collegelist,
18,Kent Place School,"(Kent Place School, Norwood Avenue, Summit, Union County, New Jersey, 07901, United States of America, (40.7199362, -74.3645897019))",Nominatum,"Kent Place School, Norwood Avenue, Summit, Union County, New Jersey, 07901, United States of America"
19,University of Michigan,"Dearborn, MI",Collegelist,
20,Ransom Everglades School," Coconut Grove, FL",Collegelist,
21,Loyola Marymount University,"Los Angeles, CA",Collegelist,
22,Loyola High School," Los Angeles, CA",Collegelist,
23,"Baruch College, City University of New York (CUNY)",,,
24,University of New Hampshire,"Durham, NH",Collegelist,
25,Suffern High School,"49 VIOLA RD SUFFERN, NY 10901",Collegelist,
26,Harvard Business School,"(Harvard Business School, Harvard Way, Allston, Boston, Suffolk County, Massachusetts, 02163, United States of America, (42.3662654, -71.1219945))",Nominatum,"Harvard Business School, Harvard Way, Allston, Boston, Suffolk County, Massachusetts, 02163, United States of America"
27,University of Manitoba,"(University of Manitoba, Gillson Street, Normand Park, Saint Vital, Winnipeg, Manitoba, R3J3T7, Canada, (49.809168, -97.1329696881))",Nominatum,"University of Manitoba, Gillson Street, Normand Park, Saint Vital, Winnipeg, Manitoba, R3J3T7, Canada"
28,Michigan State University,"East Lansing, MI",Collegelist,
29,University of Waterloo,"(University of Waterloo, 200, University Avenue West, Beechwood, Waterloo, Regional Municipality of Waterloo, Ontario, N2L 3G1, Canada, (43.47061295, -80.5449578682))",Nominatum,"University of Waterloo, 200, University Avenue West, Beechwood, Waterloo, Regional Municipality of Waterloo, Ontario, N2L 3G1, Canada"
30,Technische Universität München,"(TUM, Boltzmannstraße, Hochschul- und Forschungszentrum, Garching, Landkreis München, OB, Bayern, 85748, Deutschland, (48.2655696, 11.670574141))",Nominatum,"TUM, Boltzmannstraße, Hochschul- und Forschungszentrum, Garching, Landkreis München, OB, Bayern, 85748, Deutschland"
31,,,,
32,Art Institute of Pittsburgh,"(Art institute of Pittsburgh, 420, Boulevard of the Allies, Downtown, PGH, Allegheny County, penna, 15222, United States of America, (40.4372092, -79.9996873108))",Nominatum,"Art institute of Pittsburgh, 420, Boulevard of the Allies, Downtown, PGH, Allegheny County, penna, 15222, United States of America"
33,"BOCES Technical Vocational School, 2003",,,
34,University of Florida,"Gainesville, FL",Collegelist,
35,Indiana University - Kelley School of Business,"Bloomington, IN",Manual,
36,Semester at Sea,,,
37,"University of Washington, Michael G. Foster School of Business","Seattle, WA",Manual,
38,University of Florida,"Gainesville, FL",Collegelist,
39,Boğaziçi University,"(Düzce Üniversitesi Rektörlük, Rektörlük İçi  Yollar, Yürükler, Düzce merkez, Düzce, Karadeniz Bölgesi, 81620, Türkiye, (40.90698, 31.1833912276))",Nominatum,"Düzce Üniversitesi Rektörlük, Rektörlük İçi  Yollar, Yürükler, Düzce merkez, Düzce, Karadeniz Bölgesi, 81620, Türkiye"
40,Arizona State University,"Tempe, AZ",Collegelist,
41,Arizona State University,"Tempe, AZ",Collegelist,
42,Massachusetts College of Art,"(Massachusetts College of Art, Huntington Avenue, Roxbury Crossing, Fenway, Boston, Suffolk County, Massachusetts, 02115, United States of America, (42.336189, -71.0997199))",Nominatum,"Massachusetts College of Art, Huntington Avenue, Roxbury Crossing, Fenway, Boston, Suffolk County, Massachusetts, 02115, United States of America"
43,Boston University Questrom School of Business,"Boston, MA",Manual,
44,Mount Wachusett Community College,"(Mount Wachusett Community College, 444, Green Street, Gardner, Worcester County, Massachusetts, 01440, United States of America, (42.59437355, -71.982542054))",Nominatum,"Mount Wachusett Community College, 444, Green Street, Gardner, Worcester County, Massachusetts, 01440, United States of America"
45,Harvard Business School,"(Harvard Business School, Harvard Way, Allston, Boston, Suffolk County, Massachusetts, 02163, United States of America, (42.3662654, -71.1219945))",Nominatum,"Harvard Business School, Harvard Way, Allston, Boston, Suffolk County, Massachusetts, 02163, United States of America"
46,New York University - Leonard N. Stern School of Business,"New York, NY",Manual,
47,New York University,"New York, NY",Collegelist,
48,Carnegie Mellon University,"Pittsburgh, PA",Collegelist,
49,University of Michigan,"Dearborn, MI",Collegelist,
50,Central University of Finance and Economics,"(中央财经大学, 39号, 学院南路, 海淀路社区, 海淀区, 北京市, 100098, 中国, (39.95814755, 116.336279593))",Nominatum,"中央财经大学, 39号, 学院南路, 海淀路社区, 海淀区, 北京市, 100098, 中国"
51,California State University-Los Angeles,"Los Angeles, CA",Collegelist,
52,Grossmont College,"(Grossmont College, Grossmont College Drive, El Cajon, San Diego County, California, 92020, United States of America, (32.81650395, -117.005463884))",Nominatum,"Grossmont College, Grossmont College Drive, El Cajon, San Diego County, California, 92020, United States of America"
53,Massachusetts Institute of Technology,"Cambridge, MA",Collegelist,
54,Bentley University,"Waltham, MA",Collegelist,
55,Bentley University,"Waltham, MA",Collegelist,
56,The University of Georgia,"Athens, GA",Collegelist,
57,Indiana University Bloomington,"Bloomington, IN",Collegelist,
58,University of New Orleans,"New Orleans, LA",Collegelist,
